,open,high,low,close
0,47.91,47.92,47.1,47.81
1,47.77,48.62,47.76,48.51
2,48.31,49.13,48.29,48.84
3,48.7,49.09,48.29,48.92
4,49.11,49.28,48.98,49.25
5,49.11,50.06,49.08,50.03
6,50.08,50.71,49.81,49.88
7,49.67,50.19,49.54,50.15
8,50.21,50.25,49.61,49.74
9,49.8,50.04,49.05,49.72
10,49.65,49.96,49.5,49.81
11,49.87,50.34,49.64,49.81
12,49.88,50.85,49.65,50.78
13,50.78,51.04,50.63,50.97
14,50.71,51.24,50.58,51.13
15,51.11,51.94,50.97,51.87
16,51.84,52.12,51.76,51.79
17,51.71,51.94,51.28,51.32
18,51.22,51.25,50.53,51.08
19,51.1,51.49,50.97,51.15
20,50.76,50.85,49.78,50.17
21,52.47,53.83,52.31,52.63
22,52.46,53.16,52.03,52.29
23,52.72,52.96,52.56,52.94
24,51.07,52.21,50.88,52.12
25,51.47,51.86,50.21,50.72
26,50.47,51.33,50.44,50.72
27,50.1,50.42,49.17,50.18
28,49.36,49.71,48.19,49.29
29,46.93,47.37,45.71,46.43
30,46.6,47.42,46.35,47.17
31,46.57,47.94,46.51,47.73
32,47.48,48.12,47.21,47.52
33,46.73,47.72,46.69,47.25
34,45.88,46.09,45.07,45.77
35,46.31,47.0,46.17,46.65
36,46.17,46.43,45.64,45.7
37,44.95,45.13,44.45,44.92
38,45.05,45.54,44.65,44.74
39,44.73,45.15,44.48,44.56
40,44.11,44.84,44.0,44.35
41,44.49,44.81,44.17,44.58
42,44.06,44.5,43.75,43.77
43,43.9,44.48,42.57,43.33
44,43.86,44.96,43.63,44.91
45,46.07,46.25,45.29,45.63
46,45.77,46.37,45.54,46.31
47,46.63,47.98,46.44,47.54
48,47.95,48.84,47.9,48.15
49,48.72,49.0,48.4,48.7
50,48.49,48.99,48.35,48.55
51,48.67,49.2,48.4,48.54
52,47.89,48.4,47.58,48.19
53,48.22,48.74,48.04,48.47
54,49.01,50.07,48.8,49.61
55,49.92,49.97,49.33,49.47
56,50.09,50.15,49.51,49.87
57,49.7,50.21,49.54,49.7
58,49.63,50.04,49.54,49.65
59,49.61,49.81,48.82,48.89
60,49.44,50.25,49.34,49.95
61,50.07,50.39,49.89,49.94
62,49.67,49.88,49.26,49.48
63,50.79,51.12,50.16,50.39
64,50.35,50.78,50.34,50.68
65,50.82,51.11,50.67,51.1
66,50.84,51.27,50.72,51.06
67,50.2,50.35,49.6,50.01
68,49.8,50.38,49.7,50.31
69,50.46,50.93,50.39,50.81
70,50.83,51.1,50.43,50.44
71,50.61,51.0,50.55,50.83
72,51.02,51.47,51.0,51.3
73,51.15,51.53,50.88,51.13
74,51.01,51.27,50.82,50.84
75,51.0,51.47,50.92,51.42
76,51.45,51.63,50.59,50.65
77,50.91,51.81,50.9,51.81
78,52.12,52.23,51.82,52.21
79,51.92,52.29,51.79,52.17
80,52.22,52.31,51.68,51.76
81,51.87,52.43,51.79,51.94
82,52.12,52.66,52.11,52.42
83,52.19,52.54,51.83,52.2
84,54.11,55.34,52.83,53.26
85,53.47,54.51,51.69,52.11
86,51.38,51.61,50.41,51.01
87,49.5,49.66,48.15,48.33
88,49.08,49.52,48.51,49.25
89,48.85,49.89,48.46,49.76
90,50.05,50.88,49.85,50.86
91,50.33,50.69,49.82,50.25
92,49.9,50.51,49.79,50.12
93,50.26,53.04,50.12,52.24
94,50.79,51.61,50.65,50.69
95,50.87,51.29,49.92,50.44
96,51.07,51.79,50.96,51.63
97,52.65,53.18,52.51,52.59
98,52.72,53.34,52.58,52.59
99,53.25,53.41,52.9,53.16
100,53.3,53.61,52.69,53.12
101,52.36,53.01,50.25,50.66
102,51.47,51.8,51.26,51.62
103,51.97,52.14,50.88,51.04
104,51.03,51.43,50.83,51.38
105,52.13,52.33,51.67,52.25
106,52.54,52.61,51.8,52.19
107,51.61,51.74,51.06,51.42
108,52.1,52.37,51.83,52.3
109,53.0,53.49,52.88,53.32
110,53.51,53.61,53.13,53.31
111,53.71,54.11,52.77,53.54
112,53.47,54.2,52.93,54.17
113,54.52,55.93,54.43,55.9
114,56.2,56.61,55.72,55.77
115,55.0,55.2,54.26,54.69
116,54.43,55.03,54.39,54.97
117,54.99,55.21,54.78,55.17
118,55.26,55.71,54.86,55.69
119,55.5,55.94,55.09,55.24
120,55.35,55.64,54.37,54.43
121,54.74,54.96,54.41,54.68
122,55.26,55.62,54.3,54.42
123,54.64,55.38,54.29,55.26
124,55.0,55.24,54.71,54.97
125,55.13,55.24,54.32,54.71
126,55.22,56.15,55.2,55.99
127,56.27,57.06,56.05,56.15
128,55.76,55.9,54.48,54.74
129,54.61,55.24,53.78,55.21
130,56.41,56.87,55.97,56.75
131,56.57,57.48,56.46,56.76
132,56.46,57.01,56.08,56.1
133,56.76,56.95,56.41,56.76
134,56.98,57.61,56.83,57.52
135,58.24,59.41,58.08,59.05
136,58.72,59.53,58.67,58.97
137,59.1,59.41,58.72,58.83
138,58.34,58.81,58.3,58.59
139,58.77,59.04,58.38,58.82
140,58.65,59.4,58.57,59.1
141,59.38,60.25,59.33,60.13
142,60.29,60.55,59.9,59.99
143,60.53,60.81,60.31,60.79
144,61.13,61.2,60.45,60.9
145,60.79,61.68,60.72,61.65
146,61.86,62.31,61.68,62.26
